company,profits,rank,revenues,year
Caterpillar,229.2,36,"4,082.1",1975
Sunoco,377.7,37,"3,799.6",1975
Amerada Hess,201.9,38,"3,744.5",1975
Boeing,72.4,39,"3,730.7",1975
Firestone Tire & Rubber,154.0,40,"3,674.9",1975
Dow Chemical,615.7,32,"4,888.1",1976
Kraft,139.6,33,"4,857.4",1976
RCA,110.0,34,"4,789.5",1976
Esmark,79.7,35,"4,730.7",1976
Sunoco,220.1,36,"4,389.1",1976
LTV,13.1,37,"4,312.5",1976
Rockwell Automation,123.4,34,"5,220.1",1977
United Technologies,157.4,35,"5,166.3",1977
Caterpillar,383.2,36,"5,042.3",1977
Kraft,135.7,37,"4,976.6",1977
Beatrice,153.1,38,"4,690.6",1977
LTV,30.7,39,"4,496.9",1977
Xerox,358.9,40,"4,403.9",1977
Nabisco Group Holdings,353.9,41,"4,291.1",1977
Monsanto,366.3,42,"4,270.2",1977
Ashland,136.0,43,"4,086.8",1977
ConocoPhillips,710.5,26,"6,997.8",1979
Dow Chemical,575.2,27,"6,887.6",1979
Navistar International,186.7,28,"6,664.3",1979
CBS,243.4,29,"6,663.3",1979
RCA,278.4,30,"6,600.6",1979
Beatrice,221.5,31,"6,313.9",1979
United Technologies,234.1,32,"6,265.3",1979
Occidental Petroleum,6.7,33,"6,252.6",1979
Bethlehem Steel,225.1,34,"6,184.9",1979
Unocal,382.3,35,"5,954.9",1979
Occidental Petroleum,217.9,27,"6,006.0",1978
Navistar International,203.7,28,"5,975.1",1978
Eastman Kodak,643.4,29,"5,967.0",1978
RCA,247.0,30,"5,880.9",1978
Rockwell Automation,144.1,31,"5,858.7",1978
Caterpillar,445.1,32,"5,848.9",1978
Conoco,815.4,15,"12,648.0",1980
DuPont,938.9,16,"12,571.8",1980
Chrysler,"-1,097.3",17,"12,001.9",1980
Tenneco Automotive,571.0,18,"11,209.0",1980
AT&T Technologies,635.9,19,"10,964.1",1980
Sunoco,699.9,20,"10,666.0",1980
Occidental Petroleum,561.6,21,"9,554.8",1980
ConocoPhillips,891.1,22,"9,502.8",1980
Procter & Gamble,577.3,23,"9,329.3",1980
Dow Chemical,783.9,24,"9,255.4",1980
Union Carbide,556.2,25,"9,176.5",1980
United Technologies,325.6,26,"9,053.4",1980
Navistar International,369.6,27,"8,392.0",1980
Mobil,"3,272.0",2,"59,510.0",1981
General Motors,-762.5,3,"57,728.5",1981
Texaco,"2,642.5",4,"51,195.8",1981
ChevronTexaco,"2,401.0",5,"40,479.0",1981
Ford Motor,"-1,543.3",6,"37,085.5",1981
Gulf Oil,"1,407.0",7,"26,483.0",1981
Intl. Business Machines,"3,562.0",8,"26,213.0",1981
Amoco,"1,915.3",9,"26,133.1",1981
General Electric,"1,514.0",10,"24,959.0",1981
Atlantic Richfield,"1,651.4",11,"23,744.3",1981
Exxon Mobil,"5,567.5",1,"108,107.7",1982
Mobil,"2,433.0",2,"64,488.0",1982
General Motors,333.4,3,"62,698.5",1982
Texaco,"2,310.0",4,"57,628.0",1982
Merritt-Chapman & Scott,16.8,96,374.0,1957
J.P. Stevens,10.4,97,372.6,1957
United Merchants & Mfrs.,13.8,98,368.6,1957
Whirlpool,13.8,99,368.2,1957
Pullman,12.7,100,364.4,1957
Monsanto,49.0,70,615.4,1960
Youngstown Sheet & Tube,31.0,71,608.1,1960
PPG Industries,44.1,72,606.9,1960
American Cyanamid,52.3,73,583.6,1960
Colgate-Palmolive,25.3,74,582.0,1960
Tidewater Oil,33.9,75,559.4,1960
Owens-Illinois,40.8,76,552.7,1960
General Mills,16.8,77,546.0,1960
Deere,48.5,78,542.5,1960
Atlantic Richfield,30.2,79,541.3,1960
Allis-Chalmers,22.9,80,539.6,1960
Anaconda,44.0,69,570.8,1958
Monsanto,37.4,70,567.1,1958
Atlantic Richfield,35.7,71,565.9,1958
NL Industries,56.2,72,535.3,1958
Allis-Chalmers,17.8,73,534.1,1958
American Cyanamid,51.3,74,532.5,1958
General Mills,12.2,75,527.7,1958
Standard Brands,13.8,76,513.9,1958
Ogden,4.3,77,512.2,1958
Owens-Illinois,35.8,78,510.5,1958
Pure Oil,35.5,79,508.8,1958
Colgate-Palmolive,19.9,80,506.9,1958
American Cyanamid,43.8,71,525.1,1959
Anaconda,33.9,72,523.1,1959
Standard Brands,14.7,73,519.7,1959
PPG Industries,32.1,74,513.6,1959
Owens-Illinois,37.8,75,508.5,1959
Campbell Soup,31.5,76,501.4,1959
Youngstown Sheet & Tube,21.5,77,499.6,1959
Ralston Purina,17.5,78,493.5,1959
Martin Marietta,8.9,79,483.6,1959
Pure Oil,28.8,80,473.4,1959
Deere,42.1,81,472.6,1959
Bestfoods,32.5,82,470.9,1959
American Motors,26.1,83,470.3,1959
GenCorp,11.3,84,469.8,1959
Conoco,46.4,67,528.9,1956
Caterpillar,34.8,68,523.9,1956
Monsanto,42.2,69,522.3,1956
Burlington Industries Equity,16.4,70,515.2,1956
General Mills,12.4,71,513.7,1956
Atlantic Richfield,39.5,72,513.0,1956
Curtiss-Wright,35.1,73,508.7,1956
Pure Oil,35.2,74,485.1,1956
Studebaker,-29.7,75,480.0,1956
Tidewater Oil,37.8,76,478.8,1956
NL Industries,36.6,72,419.3,1955
Standard Brands,10.6,73,415.9,1955
Sealed Air,14.8,74,413.4,1955
Caterpillar,25.1,75,401.0,1955
American Motors,-11.1,76,400.3,1955
Ralston Purina,15.5,77,399.6,1955
American Cyanamid,27.1,78,397.6,1955
Pullman,13.3,79,391.0,1955
Pure Oil,31.2,80,388.3,1955
BorgWarner,24.5,81,380.3,1955
Ralston Purina,22.2,70,682.0,1963
Colgate-Palmolive,22.9,71,673.8,1963
BorgWarner,33.0,72,658.9,1963
PPG Industries,43.0,73,656.7,1963
Tidewater Oil,36.2,74,655.7,1963
Fortune Brands,68.6,75,655.2,1963
American Cyanamid,59.3,76,649.2,1963
AMAX,28.1,77,642.1,1963
Singer,34.5,78,631.1,1963
Owens-Illinois,33.2,79,627.8,1963
Honeywell,26.9,80,595.9,1963
Goodrich,31.0,60,757.8,1962
Honeywell Intl.,47.2,61,746.6,1962
Bestfoods,42.6,62,745.8,1962
Jones & Laughlin Steel,32.1,63,736.7,1962
Caterpillar,55.8,64,734.3,1962
Ryerson Tull,54.7,65,724.6,1962
Olin,32.1,66,700.7,1962
Wilson,7.8,67,697.7,1962
National Intergroup,32.9,68,648.4,1962
Anaconda,42.1,69,624.3,1962
Tidewater Oil,27.8,70,621.4,1962
Sunoco,49.3,59,749.8,1961
Ryerson Tull,47.1,60,747.1,1961
Fortune Brands,62.5,61,724.1,1961
Caterpillar,42.6,62,716.0,1961
National Intergroup,41.9,63,697.1,1961
Conoco,61.2,64,694.3,1961
Bestfoods,38.2,65,691.4,1961
Olin,34.7,66,689.6,1961
AMAX,38.7,67,679.0,1961
Martin Marietta,15.7,68,651.2,1961
PPG Industries,47.6,69,628.0,1961
Rapid-American,20.7,55,"1,827.1",1971
Burlington Industries Equity,71.4,56,"1,821.5",1971
Unocal,114.5,57,"1,811.2",1971
Nabisco Group Holdings,201.9,58,"1,786.0",1971
Sperry,81.0,59,"1,755.4",1971
Xerox,187.7,60,"1,718.6",1971
OfficeMax,36.6,61,"1,716.9",1971
Citgo Petroleum,118.6,62,"1,714.0",1971
3M,187.7,63,"1,687.3",1971
National Intergroup,87.5,55,"1,107.2",1966
Tenneco Automotive,95.3,56,"1,037.9",1966
McDonnell Douglas,32.0,57,"1,007.8",1966
Nabisco Group Holdings,133.4,58,"1,004.0",1966
Sealed Air,45.3,59,"1,003.1",1966
3M,116.4,60,"1,000.3",1966
Anaconda,79.5,61,993.9,1966
Jones & Laughlin Steel,53.3,62,992.7,1966
American Motors,5.2,63,990.6,1966
Goodrich,40.7,64,980.1,1966
Sealed Air,69.5,53,"1,278.7",1967
Honeywell Intl.,89.2,54,"1,245.6",1967
Anaconda,132.4,55,"1,234.6",1967
ARMCO,86.7,56,"1,224.6",1967
Litton Industries,55.6,57,"1,172.2",1967
Tenneco Automotive,108.1,58,"1,164.3",1967
Ralston Purina,44.9,59,"1,154.0",1967
3M,138.5,60,"1,152.6",1967
Textron,43.9,61,"1,132.2",1967
Olin,66.7,62,"1,117.1",1967
Nabisco Group Holdings,137.9,63,"1,094.6",1967
Sinclair Oil,75.2,38,"1,211.5",1964
Monsanto,83.0,39,"1,192.3",1964
Continental Group,40.1,40,"1,154.0",1964
American Can,44.1,41,"1,149.4",1964
Conoco,87.4,42,"1,147.1",1964
International Paper,69.4,43,"1,144.6",1964
American Motors,37.8,44,"1,132.4",1964
Borden Chemical,35.1,45,"1,118.9",1964
Republic Steel,55.5,46,"1,114.2",1964
Eastman Kodak,144.4,47,"1,106.7",1964
Burlington Industries Equity,40.6,48,"1,084.9",1964
General Foods,103.5,44,"1,739.7",1969
Sealed Air,33.1,45,"1,738.4",1969
Caterpillar,121.6,46,"1,707.1",1969
Textron,74.0,47,"1,704.1",1969
Occidental Petroleum,134.1,48,"1,699.0",1969
Borden Chemical,43.8,49,"1,669.4",1969
Dow Chemical,136.0,50,"1,652.5",1969
American Can,77.6,51,"1,633.0",1969
Burlington Industries Equity,79.0,52,"1,619.3",1969
Sperry,64.0,53,"1,562.8",1969
Sinclair Oil,58.7,46,"1,187.3",1965
Citgo Petroleum,84.5,47,"1,170.4",1965
Caterpillar,123.8,48,"1,161.0",1965
Uniroyal,30.1,49,"1,086.6",1965
Dow Chemical,93.8,50,"1,077.5",1965
ARMCO,80.4,51,"1,063.5",1965
Honeywell Intl.,81.0,52,"1,043.1",1965
Alcoa,60.8,53,"1,036.9",1965
GenCorp,36.9,54,"1,027.2",1965
American Motors,26.2,55,"1,009.5",1965
National Intergroup,84.9,56,966.1,1965
Jones & Laughlin Steel,60.1,57,946.6,1965
Litton Industries,70.1,44,"1,561.5",1968
American Can,60.5,45,"1,521.8",1968
Sperry,53.9,46,"1,487.1",1968
Sinclair Oil,95.4,47,"1,483.1",1968
Caterpillar,106.4,48,"1,472.5",1968
Textron,61.5,49,"1,446.0",1968
International Paper,88.8,50,"1,414.5",1968
Unocal,145.0,51,"1,412.2",1968
Continental Group,78.1,52,"1,397.6",1968
General Foods,132.9,46,"1,893.8",1970
Sunoco,152.3,47,"1,837.8",1970
Rapid-American,20.7,48,"1,827.1",1970
Dow Chemical,148.7,49,"1,797.1",1970
Sealed Air,51.0,50,"1,791.7",1970
Continental Group,90.4,51,"1,780.0",1970
International Paper,115.6,52,"1,777.3",1970
Burlington Industries Equity,78.1,53,"1,764.7",1970
Borden Chemical,29.6,54,"1,740.2",1970
OfficeMax,84.0,55,"1,725.8",1970
American Can,64.6,56,"1,723.7",1970
Textron,76.1,57,"1,682.2",1970
Unocal,153.2,58,"1,660.1",1970
Sealed Air,43.3,47,"2,048.9",1972
United Technologies,-43.9,48,"2,028.8",1972
Rapid-American,13.0,49,"1,990.6",1972
Unocal,114.7,50,"1,981.4",1972
International Paper,54.6,51,"1,969.5",1972
Xerox,212.6,52,"1,961.4",1972
Honeywell,69.3,53,"1,946.1",1972
Sunoco,151.6,54,"1,938.8",1972
American Can,50.1,55,"1,897.0",1972
General Dynamics,22.0,56,"1,868.8",1972
Boeing,30.4,43,"2,369.6",1973
Rockwell Automation,86.1,44,"2,362.9",1973
Sealed Air,63.5,45,"2,315.1",1973
Monsanto,122.0,46,"2,225.4",1973
Singer,87.5,47,"2,217.5",1973
Borden Chemical,66.0,48,"2,192.9",1973
Continental Group,-39.3,49,"2,192.7",1973
Honeywell,82.3,50,"2,125.4",1973
3M,244.4,51,"2,114.1",1973
Unocal,121.9,52,"2,098.2",1973
International Paper,102.7,53,"2,093.3",1973
Nabisco Group Holdings,237.5,54,"2,072.3",1973
McDonnell Douglas,129.5,39,"3,002.6",1974
ConocoPhillips,230.4,40,"2,990.0",1974
Xerox,300.5,41,"2,989.7",1974
Sealed Air,84.6,42,"2,807.8",1974
Beatrice,90.4,43,"2,787.0",1974
Lockheed Martin,16.8,44,"2,756.8",1974
Monsanto,238.3,45,"2,647.7",1974
General Foods,110.4,46,"2,632.3",1974
Litton Industries,43.0,47,"2,624.4",1974
Borden Chemical,73.0,48,"2,554.0",1974
Xerox,331.1,41,"3,576.4",1975
Beatrice,117.0,42,"3,541.2",1975
Monsanto,323.2,43,"3,497.9",1975
Sealed Air,130.6,44,"3,472.3",1975
Greyhound,58.0,45,"3,458.3",1975
United Technologies,104.7,46,"3,321.1",1975
Lockheed Martin,23.2,47,"3,279.1",1975
Borden Chemical,83.8,48,"3,264.5",1975
Nabisco Group Holdings,310.7,49,"3,229.7",1975
Ashland,113.0,50,"3,215.7",1975
ARMCO,204.3,51,"3,190.1",1975
Continental Group,119.4,52,"3,087.4",1975
Beatrice,134.8,38,"4,191.8",1976
Xerox,244.3,39,"4,094.0",1976
United Technologies,117.5,40,"3,877.8",1976
Greyhound,81.2,41,"3,733.3",1976
Firestone Tire & Rubber,134.3,42,"3,724.2",1976
Boeing,76.3,43,"3,718.9",1976
General Foods,99.4,44,"3,675.1",1976
Ashland,119.4,45,"3,637.1",1976
Monsanto,306.3,46,"3,624.7",1976
Sealed Air,166.7,47,"3,529.2",1976
Nabisco Group Holdings,338.7,48,"3,528.9",1976
General Foods,150.4,44,"3,978.3",1977
Citgo Petroleum,217.0,45,"3,964.6",1977
Firestone Tire & Rubber,96.0,46,"3,939.1",1977
Boeing,102.9,47,"3,918.5",1977
Amerada Hess,152.6,48,"3,914.6",1977
Greyhound,77.1,49,"3,727.3",1977
Sealed Air,131.9,50,"3,615.2",1977
McDonnell Douglas,108.9,51,"3,543.7",1977
International Paper,253.6,52,"3,540.6",1977
3M,338.5,53,"3,514.3",1977
Colgate-Palmolive,149.2,54,"3,511.5",1977
Xerox,476.9,36,"5,901.9",1979
Rockwell Automation,176.6,37,"5,832.8",1979
Esmark,80.1,38,"5,827.2",1979
Kraft,184.0,39,"5,669.9",1979
Boeing,322.9,40,"5,463.0",1979
General Foods,169.5,41,"5,376.2",1979
LTV,39.6,42,"5,260.5",1979
BP America,450.2,43,"5,197.7",1979
Ashland,244.8,44,"5,166.7",1979
Monsanto,302.6,45,"5,018.7",1979
Altria Group,408.6,46,"4,968.9",1979
Unocal,334.2,33,"5,668.5",1978
United Technologies,196.0,34,"5,550.7",1978
Bethlehem Steel,-448.2,35,"5,370.0",1978
Beatrice,182.6,36,"5,288.6",1978
Esmark,67.0,37,"5,280.2",1978
Kraft,154.1,38,"5,238.8",1978
Xerox,406.6,39,"5,076.9",1978
General Foods,177.3,40,"4,909.7",1978
Nabisco Group Holdings,423.5,41,"4,816.0",1978
Ashland,164.3,42,"4,785.6",1978
LTV,-38.7,43,"4,703.3",1978
Monsanto,275.6,44,"4,594.5",1978
Goodyear Tire & Rubber,146.2,28,"8,238.7",1980
Boeing,505.4,29,"8,131.0",1980
Eastman Kodak,"1,000.8",30,"8,028.2",1980
LTV,173.5,31,"7,996.8",1980
BP America,"1,186.1",32,"7,916.0",1980
Caterpillar,491.6,33,"7,613.2",1980
Unocal,500.6,34,"7,567.7",1980
Beatrice,261.0,35,"7,468.4",1980
RCA,283.8,36,"7,454.6",1980
CBS,-73.9,37,"7,332.0",1980
Bethlehem Steel,275.7,38,"7,137.2",1980
Shell Oil,"1,542.0",12,"19,830.0",1981
ITT Industries,894.3,13,"18,529.7",1981
Conoco,"1,026.2",14,"18,325.4",1981
DuPont,716.0,15,"13,652.0",1981
ConocoPhillips,"1,069.6",16,"13,376.6",1981
Tenneco Automotive,726.0,17,"13,226.0",1981
Sunoco,723.0,18,"12,945.0",1981
U.S. Steel,504.5,19,"12,492.1",1981
Occidental Petroleum,710.8,20,"12,476.1",1981
United Technologies,393.4,21,"12,324.0",1981
AT&T Technologies,693.2,22,"12,032.1",1981
ChevronTexaco,"2,380.0",5,"44,224.0",1982
Ford Motor,"-1,060.1",6,"38,247.1",1982
Amoco,"1,922.0",7,"29,947.0",1982
Intl. Business Machines,"3,308.0",8,"29,070.0",1982
Gulf Oil,"1,231.0",9,"28,252.0",1982
Atlantic Richfield,"1,671.3",10,"27,797.4",1982
General Electric,"1,652.0",11,"27,240.0",1982
DuPont,"1,401.0",12,"22,810.0",1982
Shell Oil,"1,701.0",13,"21,629.0",1982
ITT Industries,676.8,14,"17,306.2",1982
ConocoPhillips,879.0,15,"15,966.0",1982
Tenneco Automotive,813.0,16,"15,462.0",1982
Sunoco,"1,076.0",17,"15,012.0",1982
Exxon Mobil,"4,185.9",1,"97,172.5",1983
Ralston Purina,17.8,81,530.6,1960
NL Industries,52.5,82,530.6,1960
Crown Zellerbach,42.3,83,527.3,1960
Martin Marietta,11.9,84,523.7,1960
American Standard,21.4,85,517.4,1960
3M,63.6,86,500.7,1960
Pure Oil,28.9,87,499.6,1960
Campbell Soup,34.5,88,496.5,1960
Singer,21.3,89,496.1,1960
Raytheon,13.5,90,494.3,1960
Reynolds Metals,44.8,91,489.3,1960
St. Regis,28.6,92,474.4,1960
Sealed Air,14.8,93,469.7,1960
Asarco,25.0,81,498.6,1958
Kennecott,79.3,82,468.0,1958
Crown Zellerbach,38.1,83,460.6,1958
Sealed Air,15.5,84,459.7,1958
Reynolds Metals,37.8,85,446.6,1958
Campbell Soup,29.9,86,440.9,1958
Ralston Purina,14.6,87,438.3,1958
Unocal,38.2,88,432.7,1958
Pullman,14.8,89,424.5,1958
Nabisco Brands,22.1,90,424.5,1958
Martin Marietta,11.4,91,423.9,1958
GenCorp,11.3,92,421.2,1958
Crown Zellerbach,33.2,85,468.8,1959
NL Industries,44.7,86,457.6,1959
Reynolds Metals,38.2,87,445.5,1959
McDonnell Douglas,10.0,88,442.4,1959
Sealed Air,10.0,89,434.2,1959
Asarco,17.3,90,417.1,1959
Foremost Dairies,9.6,91,416.4,1959
Nabisco Brands,22.1,92,413.3,1959
Hygrade Food Products,1.4,93,411.5,1959
Weyerhaeuser,49.6,94,410.4,1959
Kaisertech,25.2,95,408.6,1959
Unocal,25.0,96,408.0,1959
Dow Chemical,37.4,77,470.7,1956
Nabisco Group Holdings,53.3,78,466.3,1956
American Cyanamid,38.7,79,451.1,1956
ITT Industries,23.1,80,448.4,1956
American Motors,-7.0,81,441.1,1956
Sealed Air,18.8,82,427.1,1956
Crown Zellerbach,44.1,83,414.1,1956
Standard Brands,10.6,84,400.7,1956
Nabisco Brands,18.3,85,389.6,1956
Nabisco Brands,19.9,82,376.4,1955
Avco,3.6,83,375.4,1955
Unocal,35.9,84,349.7,1955
Philco,6.8,85,349.3,1955
Burlington Industries Equity,8.4,86,347.5,1955
Monsanto,23.7,87,341.8,1955
Campbell Soup,23.6,88,338.7,1955
Owens-Illinois,21.5,89,336.7,1955
Pillsbury,4.9,90,336.0,1955
Singer,11.9,91,333.9,1955
Hormel Foods,1.8,92,331.8,1955
Hygrade Food Products,1.0,93,324.2,1955
Republic Aviation,9.0,94,323.5,1955
Campbell Soup,44.8,81,591.5,1963
Youngstown Sheet & Tube,27.3,82,590.9,1963
Crown Zellerbach,38.8,83,590.4,1963
J.P. Stevens,14.7,84,585.9,1963
Raytheon,9.6,85,580.7,1963
Atlantic Richfield,46.3,86,580.7,1963
St. Regis,21.3,87,579.0,1963
Sealed Air,21.9,88,574.2,1963
3M,74.9,71,608.2,1962
Colgate-Palmolive,22.3,72,604.9,1962
American Cyanamid,49.4,73,604.0,1962
PPG Industries,34.6,74,602.7,1962
Owens-Illinois,34.4,75,596.4,1962
BorgWarner,23.4,76,584.7,1962
Singer,23.7,77,582.3,1962
Ralston Purina,19.9,78,581.0,1962
AMAX,34.5,79,575.8,1962
Anaconda,46.1,70,624.4,1961
BorgWarner,27.2,71,586.9,1961
Wilson,2.0,72,585.3,1961
Tidewater Oil,35.1,73,583.1,1961
American Cyanamid,46.8,74,578.4,1961
Colgate-Palmolive,21.2,75,576.3,1961
Youngstown Sheet & Tube,25.7,76,574.2,1961
Atlantic Richfield,46.6,77,561.2,1961
Owens-Illinois,33.2,78,561.0,1961
Sara Lee,54.7,64,"1,651.5",1971
Gulf & Western Industries,44.8,65,"1,629.6",1971
Textron,66.7,66,"1,611.9",1971
Coca-Cola,146.9,67,"1,606.4",1971
TRW,79.3,68,"1,585.2",1971
ARMCO,56.2,69,"1,583.7",1971
Beatrice,52.9,70,"1,576.1",1971
Ralston Purina,56.8,71,"1,567.0",1971
Singer,44.5,65,979.8,1966
Bestfoods,54.7,66,978.5,1966
Ryerson Tull,68.4,67,967.6,1966
Ralston Purina,29.5,68,954.8,1966
GenCorp,42.6,69,949.7,1966
FMC,57.7,70,929.0,1966
Sunoco,84.8,71,925.2,1966
Litton Industries,39.8,72,915.6,1966
PPG Industries,58.1,73,897.5,1966
Atlantic Richfield,113.5,64,"1,093.9",1967
Deere,78.7,65,"1,062.1",1967
McDonnell Douglas,43.2,66,"1,060.0",1967
Grumman,27.6,67,"1,059.4",1967
Ryerson Tull,68.1,68,"1,054.5",1967
Bendix,38.7,69,"1,051.5",1967
National Intergroup,71.9,70,"1,050.5",1967
Singer,47.3,71,"1,049.2",1967
GenCorp,34.7,49,"1,084.2",1964
Uniroyal,22.1,50,980.2,1964
Alcoa,51.1,51,972.1,1964
Dow Chemical,80.7,52,967.7,1964
Martin Marietta,34.6,53,966.6,1964
Caterpillar,77.3,54,966.1,1964
Honeywell Intl.,72.2,55,963.1,1964
Nabisco Group Holdings,129.1,56,961.6,1964
ARMCO,65.9,57,933.4,1964
International Paper,99.9,54,"1,561.8",1969
Unocal,151.2,55,"1,536.0",1969
Continental Group,83.5,56,"1,507.9",1969
TRW,72.2,57,"1,487.5",1969
Sinclair Oil,76.6,58,"1,465.1",1969
Citgo Petroleum,121.3,59,"1,439.7",1969
Nabisco Group Holdings,124.0,58,937.6,1965
3M,102.3,59,903.9,1965
Singer,52.8,60,896.2,1965
Anaconda,57.2,61,895.0,1965
Bestfoods,49.5,62,894.2,1965
Ryerson Tull,71.1,63,873.7,1965
Goodrich,34.0,64,872.4,1965
Dow Chemical,130.9,53,"1,382.7",1968
Citgo Petroleum,127.8,54,"1,374.9",1968
Burlington Industries Equity,58.2,55,"1,364.6",1968
Alcoa,107.4,56,"1,360.8",1968
Signal Companies,49.1,57,"1,321.7",1968
FMC,60.8,58,"1,313.0",1968
Atlantic Richfield,130.0,59,"1,276.8",1968
3M,179.4,59,"1,612.6",1970
Sperry,77.0,60,"1,607.3",1970
TRW,78.2,61,"1,588.4",1970
Nabisco Group Holdings,172.3,62,"1,575.1",1970
ARMCO,95.7,63,"1,565.5",1970
Gulf & Western Industries,72.0,64,"1,563.6",1970
Citgo Petroleum,133.4,65,"1,561.6",1970
Uniroyal,46.6,66,"1,553.8",1970
3M,210.7,57,"1,829.2",1972
Beatrice,62.1,58,"1,827.3",1972
Nabisco Group Holdings,225.9,59,"1,816.6",1972
Citgo Petroleum,104.5,60,"1,809.9",1972
OfficeMax,-85.2,61,"1,785.9",1972
Ralston Purina,50.9,62,"1,746.1",1972
Sperry,72.3,63,"1,739.4",1972
Coca-Cola,167.8,64,"1,728.8",1972
Burlington Industries Equity,40.1,65,"1,727.0",1972
Rapid-American,25.6,55,"2,044.8",1973
United Technologies,50.6,56,"2,023.8",1973
American Can,-50.7,57,"2,015.5",1973
Georgia-Pacific,128.5,58,"1,929.1",1973
Sunoco,154.7,59,"1,918.0",1973
ARMCO,75.6,60,"1,910.8",1973
Unocal,180.2,49,"2,552.3",1974
3M,295.5,50,"2,545.6",1974
Continental Group,95.2,51,"2,539.7",1974
Singer,94.5,52,"2,527.6",1974
Ralston Purina,77.5,53,"2,433.6",1974
Honeywell,103.9,54,"2,390.6",1974
ARMCO,107.5,55,"2,390.2",1974
Nabisco Group Holdings,263.6,56,"2,330.0",1974
International Paper,159.8,57,"2,314.3",1974
Weyerhaeuser,348.8,58,"2,301.7",1974
United Technologies,58.1,59,"2,288.9",1974
Litton Industries,-39.8,53,"3,082.0",1975
McDonnell Douglas,106.7,54,"3,075.0",1975
Ralston Purina,90.7,55,"3,073.2",1975
International Paper,262.6,56,"3,042.2",1975
General Foods,119.5,57,"2,986.7",1975
3M,301.7,58,"2,937.0",1975
Marathon Oil,170.5,59,"2,882.2",1975
Citgo Petroleum,203.8,60,"2,806.3",1975
Litton Industries,35.3,49,"3,430.2",1976
Lockheed Martin,45.3,50,"3,387.2",1976
Borden Chemical,92.9,51,"3,367.2",1976
McDonnell Douglas,85.7,52,"3,255.7",1976
Citgo Petroleum,137.7,53,"3,200.7",1976
Amerada Hess,128.4,54,"3,179.6",1976
Ralston Purina,99.5,55,"3,149.1",1976
3M,261.6,56,"3,127.3",1976
Continental Group,107.2,57,"3,101.9",1976
Marathon Oil,195.8,55,"3,488.4",1977
Continental Group,118.3,56,"3,458.2",1977
Gulf & Western Industries,200.2,57,"3,395.6",1977
Ralston Purina,125.9,58,"3,393.8",1977
Borden Chemical,112.8,59,"3,381.1",1977
Litton Industries,28.3,60,"3,365.4",1977
Lockheed Martin,38.7,61,"3,202.7",1977
Sperry,145.3,62,"3,202.6",1977
Nabisco Group Holdings,441.9,47,"4,951.7",1979
Firestone Tire & Rubber,-148.3,48,"4,878.1",1979
Amerada Hess,142.4,49,"4,701.1",1979
3M,563.0,50,"4,661.7",1979
Citgo Petroleum,118.0,51,"4,660.9",1979
Marathon Oil,225.2,52,"4,509.4",1979
Georgia-Pacific,302.0,53,"4,403.0",1979
Amerada Hess,178.9,45,"4,591.3",1978
Firestone Tire & Rubber,110.2,46,"4,426.9",1978
Citgo Petroleum,210.2,47,"4,388.2",1978
Marathon Oil,197.0,48,"4,252.0",1978
Boeing,180.3,49,"4,018.8",1978
3M,412.9,50,"3,980.3",1978
Nabisco Group Holdings,550.9,39,"7,133.1",1980
Xerox,563.1,40,"7,027.0",1980
Amerada Hess,507.1,41,"6,769.9",1980
Esmark,92.4,42,"6,743.2",1980
Marathon Oil,323.2,43,"6,680.6",1980
BP America,"1,811.2",23,"11,023.2",1981
Procter & Gamble,642.8,24,"10,772.2",1981
Dow Chemical,805.0,25,"10,626.0",1981
Getty Oil,871.9,26,"10,150.4",1981
Union Carbide,890.0,27,"9,994.0",1981
Unocal,647.0,28,"9,984.1",1981
Occidental Petroleum,722.2,18,"14,707.5",1982
U.S. Steel,"1,077.2",19,"13,940.5",1982
United Technologies,457.7,20,"13,667.8",1982
BP America,"1,946.9",21,"13,457.1",1982
AT&T Technologies,711.3,22,"13,008.0",1982
Getty Oil,856.9,23,"12,887.4",1982
Dow Chemical,564.0,24,"11,873.0",1982
General Motors,962.7,2,"60,025.6",1983
Mobil,"1,380.0",3,"59,946.0",1983
Texaco,"1,281.0",4,"46,986.0",1983
Ford Motor,-657.8,5,"37,067.2",1983
Intl. Business Machines,"4,409.0",6,"34,364.0",1983
ChevronTexaco,"1,377.0",7,"34,362.0",1983
DuPont,894.0,8,"33,331.0",1983
Gulf Oil,900.0,9,"28,427.0",1983
Amoco,"1,826.0",10,"28,073.0",1983
General Electric,"1,817.0",11,"26,500.0",1983
Atlantic Richfield,"1,676.1",12,"26,462.2",1983
Shell Oil,"1,605.0",13,"20,062.0",1983
Exxon Mobil,"4,978.0",1,"88,561.1",1984
General Motors,"3,730.2",2,"74,581.6",1984
J.P. Stevens,18.7,94,459.4,1960
Weyerhaeuser,60.4,95,458.3,1960
Sunray DX Oil,43.8,96,451.0,1960
Foremost Dairies,10.5,97,440.1,1960
Kennecott,57.3,98,437.2,1960
Morrell (John),6.1,99,436.3,1960
McDonnell Douglas,10.0,100,435.9,1960
Weyerhaeuser,53.4,93,420.6,1958
BP America,23.9,94,419.0,1958
J.P. Stevens,9.5,95,417.7,1958
Foremost Dairies,10.5,96,415.1,1958
Whirlpool,10.6,97,402.3,1958
Morrell (John),0.5,98,394.4,1958
United Merchants & Mfrs.,9.9,99,392.5,1958
